n_models,T1_xlarge_OOF_F1,T1_v3large_OOF_F1,T2_v3large_OOF_F1
1,0.32265835503313195,0.6732402684507964,0.3643916137810989
2,0.33503063834718416,0.6717297190601322,0.34524496469648774
3,0.3298310777949768,0.6701932693480442,0.3532056368911827
5,0.3305657786004971,0.6670703282680313,0.36289314632318054
7,0.33333438572478213,0.6947068068338238,0.354955199027003
10,0.33142833323636856,0.6980973150607571,0.3859091301688798
15,0.42746160630438385,0.6792115314837108,0.38096335992305325
20,0.4353969598699086,0.6796920660143102,0.3751163644006419
25,0.5249813192751799,0.6704231542014784,0.3557138202677595
30,0.5255849962903341,0.668704403201566,0.35108804392960746
40,0.6102817989548043,0.6689588507728653,0.36601032224040264
50,0.679419787421197,0.666929606820541,0.3726868720756021
