model,seed,f1
DeBERTa-xlarge (T1),0,0.32265835503313195
DeBERTa-xlarge (T1),1,0.34010883407947706
DeBERTa-xlarge (T1),2,0.32675202637311124
DeBERTa-xlarge (T1),3,0.3176478721530234
DeBERTa-xlarge (T1),4,0.33510477105321046
DeBERTa-xlarge (T1),5,0.33555300666642696
DeBERTa-xlarge (T1),6,0.3193236392787279
DeBERTa-xlarge (T1),7,0.32238224940298
DeBERTa-xlarge (T1),8,0.33552736615734613
DeBERTa-xlarge (T1),9,0.3204825065831583
DeBERTa-xlarge (T1),10,0.29614389658415335
DeBERTa-xlarge (T1),11,0.29183409144465305
DeBERTa-xlarge (T1),12,0.30018370160262514
DeBERTa-xlarge (T1),13,0.2941386949842488
DeBERTa-xlarge (T1),14,0.2996564300595943
DeBERTa-xlarge (T1),15,0.29956176673567975
DeBERTa-xlarge (T1),16,0.2998141228291256
DeBERTa-xlarge (T1),17,0.3011000551816393
DeBERTa-xlarge (T1),18,0.2977101545929361
DeBERTa-xlarge (T1),19,0.3050916252723641
DeBERTa-xlarge (T1),20,0.3059030176357035
DeBERTa-xlarge (T1),21,0.3095649087973195
DeBERTa-xlarge (T1),22,0.3121063570103452
DeBERTa-xlarge (T1),23,0.287959149345121
DeBERTa-xlarge (T1),24,0.30326302238066943
DeBERTa-xlarge (T1),25,0.3057853973841854
DeBERTa-xlarge (T1),26,0.3003854803146017
DeBERTa-xlarge (T1),27,0.31024798186878394
DeBERTa-xlarge (T1),28,0.3127745741675943
DeBERTa-xlarge (T1),29,0.3059319239861949
DeBERTa-xlarge (T1),30,0.3228515601339228
DeBERTa-xlarge (T1),31,0.30875532713142634
DeBERTa-xlarge (T1),32,0.3191345213402155
DeBERTa-xlarge (T1),33,0.30190908760424534
DeBERTa-xlarge (T1),34,0.3198174863354276
DeBERTa-xlarge (T1),35,0.3159973128301155
DeBERTa-xlarge (T1),36,0.31200957742817415
DeBERTa-xlarge (T1),37,0.3139793456301325
DeBERTa-xlarge (T1),38,0.31483105457505434
DeBERTa-xlarge (T1),39,0.32139033823304297
DeBERTa-xlarge (T1),40,0.30639804235263457
DeBERTa-xlarge (T1),41,0.3045250477335038
DeBERTa-xlarge (T1),42,0.31088517115663783
DeBERTa-xlarge (T1),43,0.3083678107312496
DeBERTa-xlarge (T1),44,0.31009451794181714
DeBERTa-xlarge (T1),45,0.3128346124887819
DeBERTa-xlarge (T1),46,0.30388027547157503
DeBERTa-xlarge (T1),47,0.3087635666353425
DeBERTa-xlarge (T1),48,0.30552192189973665
DeBERTa-xlarge (T1),49,0.31014218916958874
DeBERTa-v3-large (T1),0,0.6732402684507964
DeBERTa-v3-large (T1),1,0.6720485794511638
DeBERTa-v3-large (T1),2,0.6007080383441359
DeBERTa-v3-large (T1),3,0.6036017533120702
DeBERTa-v3-large (T1),4,0.6514451166980345
DeBERTa-v3-large (T1),5,0.6877893980239453
DeBERTa-v3-large (T1),6,0.6847842733348215
DeBERTa-v3-large (T1),7,0.678219473944281
DeBERTa-v3-large (T1),8,0.6773794127250113
DeBERTa-v3-large (T1),9,0.6966692190107563
DeBERTa-v3-large (T1),10,0.6330986478841991
DeBERTa-v3-large (T1),11,0.6387271429169497
DeBERTa-v3-large (T1),12,0.6392471372599953
DeBERTa-v3-large (T1),13,0.6226742488080822
DeBERTa-v3-large (T1),14,0.6154934003771213
DeBERTa-v3-large (T1),15,0.6153282216841539
DeBERTa-v3-large (T1),16,0.6068574898507287
DeBERTa-v3-large (T1),17,0.6168082611832612
DeBERTa-v3-large (T1),18,0.6015726176536184
DeBERTa-v3-large (T1),19,0.6387086839901058
DeBERTa-v3-large (T1),20,0.6309031238331243
DeBERTa-v3-large (T1),21,0.6516643604790391
DeBERTa-v3-large (T1),22,0.6434867190422745
DeBERTa-v3-large (T1),23,0.6378890144205628
DeBERTa-v3-large (T1),24,0.6269538204274413
DeBERTa-v3-large (T1),25,0.6059481894655937
DeBERTa-v3-large (T1),26,0.6231070202477845
DeBERTa-v3-large (T1),27,0.6368607665895872
DeBERTa-v3-large (T1),28,0.6486757105943152
DeBERTa-v3-large (T1),29,0.62688055228101
DeBERTa-v3-large (T1),30,0.6463546740102352
DeBERTa-v3-large (T1),31,0.6475392510782793
DeBERTa-v3-large (T1),32,0.6501546369059411
DeBERTa-v3-large (T1),33,0.6262754569812151
DeBERTa-v3-large (T1),34,0.6608586461541633
DeBERTa-v3-large (T1),35,0.6253530000787569
DeBERTa-v3-large (T1),36,0.6616669380102523
DeBERTa-v3-large (T1),37,0.6519161653777367
DeBERTa-v3-large (T1),38,0.6419288614784641
DeBERTa-v3-large (T1),39,0.6600091738317987
DeBERTa-v3-large (T1),40,0.6461109554941309
DeBERTa-v3-large (T1),41,0.6563193698532045
DeBERTa-v3-large (T1),42,0.6601154092288845
DeBERTa-v3-large (T1),43,0.6439191619520093
DeBERTa-v3-large (T1),44,0.6978794311833821
DeBERTa-v3-large (T1),45,0.6208269443103102
DeBERTa-v3-large (T1),46,0.6393579577358697
DeBERTa-v3-large (T1),47,0.6352620772848936
DeBERTa-v3-large (T1),48,0.6160846029164653
DeBERTa-v3-large (T1),49,0.6655828757754112
DeBERTa-v3-large (T2),0,0.3643916137810989
DeBERTa-v3-large (T2),1,0.30373405748425797
DeBERTa-v3-large (T2),2,0.337808767376139
DeBERTa-v3-large (T2),3,0.35319925632667293
DeBERTa-v3-large (T2),4,0.33175641612914797
DeBERTa-v3-large (T2),5,0.30223620677558743
DeBERTa-v3-large (T2),6,0.3132453028871355
DeBERTa-v3-large (T2),7,0.36007158042231424
DeBERTa-v3-large (T2),8,0.3718932338495966
DeBERTa-v3-large (T2),9,0.3162530969621853
DeBERTa-v3-large (T2),10,0.35004964449159875
DeBERTa-v3-large (T2),11,0.29858264698621967
DeBERTa-v3-large (T2),12,0.3319527310022246
DeBERTa-v3-large (T2),13,0.30170813961058607
DeBERTa-v3-large (T2),14,0.31476148025944034
DeBERTa-v3-large (T2),15,0.3126037605035886
DeBERTa-v3-large (T2),16,0.2832734574345171
DeBERTa-v3-large (T2),17,0.30866520470227254
DeBERTa-v3-large (T2),18,0.33702314429470404
DeBERTa-v3-large (T2),19,0.31588686996889304
DeBERTa-v3-large (T2),20,0.30860254570236495
DeBERTa-v3-large (T2),21,0.23928383651502522
DeBERTa-v3-large (T2),22,0.23914163259407642
DeBERTa-v3-large (T2),23,0.2869077563351592
DeBERTa-v3-large (T2),24,0.24547328215351832
DeBERTa-v3-large (T2),25,0.2899912609489408
DeBERTa-v3-large (T2),26,0.25112468999669063
DeBERTa-v3-large (T2),27,0.29360515177400903
DeBERTa-v3-large (T2),28,0.26618953667573647
DeBERTa-v3-large (T2),29,0.3016997546221355
DeBERTa-v3-large (T2),30,0.40210979833956695
DeBERTa-v3-large (T2),31,0.37553388946073585
DeBERTa-v3-large (T2),32,0.34695855003974807
DeBERTa-v3-large (T2),33,0.37197622546091824
DeBERTa-v3-large (T2),34,0.35819518655071775
DeBERTa-v3-large (T2),35,0.3216968671240811
DeBERTa-v3-large (T2),36,0.3823515125608915
DeBERTa-v3-large (T2),37,0.36309906946835663
DeBERTa-v3-large (T2),38,0.3428184353709469
DeBERTa-v3-large (T2),39,0.3261159964953504
DeBERTa-v3-large (T2),40,0.3914330983388382
DeBERTa-v3-large (T2),41,0.3093235768105494
DeBERTa-v3-large (T2),42,0.3721274330553103
DeBERTa-v3-large (T2),43,0.35106742247971057
DeBERTa-v3-large (T2),44,0.37412195824233163
DeBERTa-v3-large (T2),45,0.3250504548598213
DeBERTa-v3-large (T2),46,0.38122380853381005
DeBERTa-v3-large (T2),47,0.37096551709666176
DeBERTa-v3-large (T2),48,0.33061621014582676
DeBERTa-v3-large (T2),49,0.338851981492643
